ncols         262 
nrows         133 
xllcorner     4472949 
yllcorner     5543742 
cellsize      5 
NODATA_value  -9999 
16	9	22	15	15	15	14	13	13	13	11	9	9	9	9	9	21	11	32	10	223	0	0	0	1553493	0	0	0	1	0	0	27	11	0	15	2	150	69	9	8	7	6	4	1	0	0	3214	0	17	31	25	24	18	2	1	0	1	0	2	1	0	343	30	25	0	19	4	36	3	0	2	34	6	81	4	3	2	0	1	7	5	9	172	88	38	82	22	25	34	64	21	87	20	0	25	38	27	18	18	41	17	17	64	16	8	7	6	5	4	3	2	144	14	77	14	14	14	14	14	25	13	13	13	13	29	12	12	12	6	4	1	0	2	3	5	17	7	11	8	0	1	2	106	2	95	30	14	13	14	13	14	9	9	20	12	12	12	31	10	10	10	10	11	10	10	10	10	10	10	10	10	4	0	10	1	6	2	10	3	10	5	9	10	10	7	11	0	13	11	12	11	10	10	10	10	10	2	0	1	39	7	3	23	9	12	20	3	9	3	22	14	12	12	14	35	11	0	1	11	33	10	0	5	10	7	10	10	11	15	12	28	14	14	14	4	0	10	1	7	12	2	3	6	13	2	4	3	11	12	1	11	1	0	2	12	5	5	3	4	5	5	7
8	21	14	14	14	13	12	12	12	10	8	8	8	8	8	20	10	9	9	8	0	222	0	0	0	1553489	0	0	0	0	25	0	6	3	14	1	63	15	58	54	7	6	5	4	3	1	0	3213	0	15	4	3	2	1	0	2	0	1	3	2	345	0	31	27	20	0	5	41	1	0	38	7	82	5	4	3	0	1	2	14	0	10	173	128	83	23	26	35	65	22	88	21	1	26	0	67	19	19	42	18	18	65	17	9	8	7	6	5	4	3	145	15	78	15	15	15	15	15	26	14	14	14	14	30	13	13	13	7	5	2	0	1	0	3	4	24	8	12	9	0	1	2	113	99	2	1	0	15	14	15	10	10	21	13	13	13	32	11	11	11	11	12	11	11	11	11	11	11	11	11	5	1	0	11	2	7	3	11	4	11	6	10	11	11	0	8	12	1	26	13	12	11	11	11	11	11	3	0	1	42	12	0	24	10	13	21	4	10	4	23	15	13	13	51	0	13	0	2	12	45	1	6	0	11	8	11	11	12	16	13	29	15	15	20	1	0	11	2	8	13	3	4	7	14	3	5	4	12	13	2	14	1	0	3	13	6	6	4	5	6	6	8
20	13	13	13	12	11	11	11	9	7	7	7	7	7	19	9	8	8	7	4	13	220	194	0	0	0	1553484	0	0	0	21	0	5	2	13	0	62	14	0	1	45	30	4	3	2	1	0	5	3206	1	12	2	1	0	3	0	1	2	4	3	347	32	0	28	21	1	6	42	2	1	39	91	6	5	4	0	1	2	3	15	1	11	174	213	24	27	36	66	23	89	22	2	0	27	1	68	20	63	19	19	66	18	10	9	8	7	6	5	4	146	16	79	16	16	16	16	16	27	15	15	15	15	31	14	14	14	8	6	3	1	0	2	0	1	4	30	9	13	10	0	1	0	1	219	1	0	16	15	16	11	11	22	14	14	14	33	12	12	12	12	13	12	12	12	12	12	12	12	12	6	2	0	1	12	3	8	4	12	5	12	7	11	12	0	12	1	9	13	29	14	13	12	12	12	12	12	4	0	1	45	14	0	25	11	14	22	5	11	0	29	16	14	66	0	15	1	0	3	13	48	7	1	0	12	9	12	12	13	17	14	30	16	37	2	1	0	12	3	9	14	4	5	8	15	4	6	5	13	14	3	0	18	4	0	14	7	7	11	0	14	0	0
12	12	12	11	10	10	10	8	6	6	6	6	6	18	8	7	7	6	3	3	3	6	3	192	0	0	1553477	2	0	0	17	1	4	1	6	5	2	58	13	0	0	12	24	3	2	1	0	0	3	3205	0	8	7	6	1	0	2	3	5	4	348	33	30	22	0	9	43	0	3	42	92	7	6	5	1	2	0	7	16	2	12	0	175	239	28	37	67	24	90	23	3	1	28	2	0	90	64	20	20	67	19	11	10	9	8	7	6	5	147	17	80	17	17	17	17	17	28	16	16	16	16	32	15	15	15	9	7	4	2	1	0	3	0	1	2	36	0	24	11	0	1	2	2	220	18	17	16	17	12	12	23	15	15	15	34	13	13	13	13	14	13	13	13	13	13	13	13	13	7	3	0	1	2	13	4	9	5	13	6	13	8	12	0	13	1	13	2	10	14	45	14	13	13	13	13	13	5	0	1	48	16	0	26	12	15	23	6	12	1	30	17	15	67	1	18	1	0	4	63	8	2	1	0	13	10	13	13	14	18	15	31	17	38	3	2	1	13	4	10	15	5	6	9	16	5	7	6	14	15	4	0	20	5	1	15	8	8	12	1	15	1	1
11	11	10	9	9	9	7	5	5	5	5	5	17	7	6	6	5	2	2	2	2	2	2	189	0	0	0	1553474	0	0	15	0	3	0	5	4	0	0	57	12	5	2	8	19	2	1	0	0	2	3196	7	3	2	1	0	1	3	4	6	5	349	34	31	24	10	44	0	1	4	43	101	7	6	2	0	3	9	17	3	13	1	0	176	240	67	68	25	91	24	4	2	29	3	1	0	91	86	21	68	20	12	11	10	9	8	7	6	148	18	81	18	18	18	18	18	29	17	17	17	17	33	16	16	16	10	8	5	3	2	0	1	4	0	1	2	40	0	26	12	0	1	2	6	259	18	17	18	13	13	24	16	16	16	35	14	14	14	14	15	14	14	14	14	14	14	14	14	8	0	4	1	2	3	14	5	10	6	14	7	14	9	13	0	1	14	2	14	14	15	46	15	14	14	14	14	14	6	1	0	2	67	0	27	13	16	24	7	13	2	31	18	84	0	2	21	1	0	5	73	3	2	1	0	25	0	14	14	15	19	16	32	18	43	3	0	2	14	5	11	16	6	7	10	17	6	8	7	15	16	0	6	21	6	18	0	9	9	13	2	16	2	2
10	9	8	8	8	6	4	4	4	4	4	16	6	5	5	4	1	1	1	1	1	0	1	187	0	0	0	1553472	0	0	11	1	2	2	1	2	0	52	0	2	5	4	1	7	15	2	1	0	1	3194	0	2	1	0	0	2	4	5	7	6	350	35	58	0	11	46	2	5	44	0	102	15	3	1	0	4	28	4	14	2	1	177	0	241	137	26	92	25	5	3	30	4	2	1	92	87	22	69	21	13	12	11	10	9	8	7	149	19	82	19	19	19	19	19	30	18	18	18	18	34	17	17	17	11	9	6	4	3	0	1	2	0	5	1	2	3	41	1	27	13	1	2	270	21	20	19	14	14	25	17	17	17	36	15	15	15	15	16	15	15	15	15	15	15	15	0	24	1	5	2	0	3	4	15	6	11	7	15	8	15	10	0	14	1	2	15	19	15	15	16	63	15	15	15	15	15	7	2	0	1	72	0	28	14	17	25	8	14	3	32	19	85	1	3	24	1	0	6	78	3	2	1	26	0	16	0	15	16	20	17	52	44	4	1	0	3	15	6	12	17	7	8	11	18	7	9	8	16	0	17	8	22	7	20	0	10	10	14	3	17	3	3
8	7	7	7	5	3	3	3	3	3	15	5	4	4	3	0	0	0	0	0	0	8	9	186	0	0	2	1553469	0	5	4	0	1	1	0	1	1	51	38	1	1	4	3	0	6	11	9	0	0	0	3192	3185	2	0	1	3	5	22	7	0	448	60	0	0	12	47	3	51	1	0	119	4	2	0	1	34	5	15	3	2	178	1	0	242	138	27	119	6	4	31	5	3	2	93	88	23	70	22	14	13	12	11	10	9	8	150	20	83	20	20	20	20	20	31	19	19	19	19	35	18	18	18	12	10	7	5	4	1	0	2	3	1	0	6	2	3	4	42	2	28	14	5	296	1	0	15	15	26	18	18	18	37	16	16	16	16	17	16	16	16	16	16	16	16	1	25	0	2	6	3	5	5	16	0	7	12	8	16	9	0	16	11	1	15	2	3	0	20	16	16	17	64	32	16	16	16	8	3	0	1	75	1	29	15	18	26	9	15	37	0	20	86	6	0	25	3	0	7	83	3	2	27	1	17	1	0	0	33	21	71	45	5	2	0	1	4	16	7	13	18	8	9	12	19	8	10	9	17	0	1	27	23	29	1	0	11	11	15	4	18	4	4
6	6	6	4	2	2	2	2	2	14	4	3	3	2	0	1	2	3	4	5	6	8	19	175	0	1	1553465	0	1	2	1	3	0	0	0	0	0	8	28	6	0	0	3	2	3	1	0	6	0	4	0	3181	0	0	2	4	32	2	1	449	0	0	2540	2539	2537	110	61	56	1	120	5	3	1	0	2	41	16	4	3	179	2	0	1	243	139	28	120	7	5	38	4	3	94	89	24	71	23	15	14	13	12	11	10	9	151	21	84	21	21	21	0	42	32	20	20	20	20	36	19	19	19	13	11	8	6	5	2	0	1	3	4	0	2	1	7	3	4	5	43	3	29	319	0	0	16	16	27	19	19	0	19	55	17	17	0	35	17	0	17	17	17	17	17	17	2	27	3	0	7	4	6	6	17	1	8	13	9	17	0	10	18	12	2	0	16	3	4	1	21	17	17	18	98	17	17	17	9	4	1	2	76	2	30	16	19	27	10	54	0	1	21	87	7	1	30	1	0	92	4	3	28	2	18	2	1	0	1	34	22	118	6	3	0	1	2	5	17	8	14	19	9	10	13	20	9	11	10	18	1	2	28	24	30	3	0	12	12	16	5	19	5	5
5	5	3	1	1	1	1	1	13	3	2	2	1	0	1	2	3	4	5	6	7	9	25	154	0	10913	1553458	0	0	0	0	0	2	0	0	1	5	1	24	2	5	4	2	2	1	2	0	2	1	3	1	2	3174	0	8	33	0	0	450	2551	2549	2547	5	3	0	2412	140	129	128	6	4	2	0	1	3	42	22	4	180	3	1	2	0	244	140	150	8	6	0	44	4	95	90	25	72	24	16	15	14	13	12	11	10	152	22	85	22	22	22	1	0	76	21	21	21	21	37	20	20	20	14	12	9	7	6	3	1	0	2	4	5	0	1	3	2	8	4	5	6	44	34	321	0	17	17	28	20	20	1	0	20	74	18	1	36	18	1	0	18	18	18	18	18	18	3	32	1	0	8	5	7	7	18	2	9	14	10	18	0	1	11	32	3	0	1	17	4	5	2	22	18	18	118	18	18	0	18	15	2	3	77	3	31	17	20	28	11	56	0	2	22	88	8	2	33	0	1	98	4	29	3	19	3	2	1	0	2	35	142	7	4	1	2	3	0	6	18	9	15	20	10	11	14	0	31	12	0	11	21	3	29	25	31	5	0	13	13	17	6	20	6	6
4	2	0	0	0	0	0	12	2	1	1	0	0	1	2	3	4	5	6	7	8	24	127	10909	10910	0	1542542	0	0	0	0	0	0	0	0	0	1	0	3	19	1	0	0	1	1	0	1	1	0	2	0	0	0	3172	3137	3127	3081	3078	2593	39	8	7	5	0	1	2270	0	8	6	5	3	0	1	2	4	43	23	186	4	2	3	0	1	245	141	151	9	7	1	50	0	187	26	73	25	17	16	15	14	13	12	11	153	23	86	23	23	23	2	1	0	99	22	22	22	38	21	21	21	15	13	10	8	7	4	0	2	1	3	5	6	1	2	0	4	3	9	5	6	7	80	341	18	18	29	21	21	2	0	1	96	0	19	2	59	2	1	0	19	19	19	19	19	19	37	2	1	0	9	6	8	8	19	3	10	15	11	19	0	1	2	12	37	1	0	2	18	5	6	3	42	0	19	138	19	1	0	35	3	4	78	4	32	18	21	29	12	57	1	3	23	98	0	3	34	1	2	104	30	4	20	4	3	2	0	1	3	36	151	5	2	0	7	0	1	7	19	10	16	21	11	12	15	1	32	13	1	12	22	4	30	26	32	6	1	14	14	18	7	21	7	7
